,ID,Neighborhood,District,Area,Population Density,Population,Multiplier,Latitude,Longitude,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
District:,,,,,,Toplam:,,,,Toplam:,Toplam:,Toplam:,Toplam:,Toplam:,Toplam:
,697,Dereağzı,Beylikdüzü,0.68,18395,11644,%3.70048,40.986396,28.6166853,4,69,448,1370,2389,3114
Beyoğlu,,,,,,236606,,,,341,4636,26864,74706,122921,156876
,20,Kadı Mehmet Efendi,Beyoğlu,0.11,17346,10172,%4.29913,41.0344208,28.9639158,15,199,1155,3212,5285,6744
,35,Kalyoncukulluğu,Beyoğlu,0.096,15608,3108,%1.31358,41.0284233,28.9736808,4,61,353,981,1615,2061
,67,Yenişehir,Beyoğlu,0.092,14808,5823,%2.46105,41.0422931,28.9781545,8,114,661,1839,3025,3861
,82,Çukur,Beyoğlu,0.11,13778,2735,%1.15593,41.0371981,28.9780949,4,54,311,864,1421,1813
,98,Kaptanpaşa,Beyoğlu,0.065,13549,19818,%8.37595,41.0422767,28.963838,29,388,2250,6257,10296,13140
,103,Piyalepaşa,Beyoğlu,0.17,12439,23469,%9.91902,41.0482626,28.9622478,34,460,2665,7410,12193,15561
,105,Fetihtepe,Beyoğlu,0.24,10321,15490,%6.54675,41.0482932,28.9568753,22,304,1759,4891,8047,10270
,115,Küçükpiyale,Beyoğlu,0.083,10112,9312,%3.93566,41.0284233,28.9736808,13,182,1057,2940,4838,6174
,119,Hacıahmet,Beyoğlu,0.086,9670,15383,%6.50153,41.042188,28.9739405,22,301,1747,4857,7992,10199
,133,Yahya Kahya,Beyoğlu,0.24,8836,3733,%1.57773,41.0339473,28.9715307,5,73,424,1179,1939,2475
,142,Sururi,Beyoğlu,0.072,7146,4388,%1.85456,41.0368412,28.9723566,6,86,498,1385,2280,2909
,144,Bülbül,Beyoğlu,0.42,6742,3883,%1.64112,41.0391626,28.9798827,6,76,441,1226,2017,2575
,145,Kulaksız,Beyoğlu,0.34,6215,9706,%4.10218,41.0376925,28.9607963,14,190,1102,3065,5042,6435
,151,Bostan,Beyoğlu,0.064,5770,2468,%1.04308,41.0387892,28.9762524,4,48,280,779,1282,1636
,153,Firuzağa,Beyoğlu,0.073,5520,4046,%1.71002,41.030196,28.9806703,6,79,459,1277,2102,2683
,168,Keçecipiri,Beyoğlu,0.086,5375,14386,%6.08015,41.0284233,28.9736808,21,282,1633,4542,7474,9538
,195,Halıcıoğlu,Beyoğlu,0.064,4451,13274,%5.61017,41.0488286,28.9496751,19,260,1507,4191,6896,8801
,209,Piripaşa,Beyoğlu,0.24,3111,15706,%6.63804,41.0284233,28.9736808,23,308,1783,4959,8160,10413
,213,Cihangir,Beyoğlu,0.062,1947,3482,%1.47164,41.0330402,28.9853187,5,68,395,1099,1809,2309
,246,Çatmamescit,Beyoğlu,0.14,905,2504,%1.05830,41.0284233,28.9736808,4,49,284,791,1301,1660
,337,Örnektepe,Beyoğlu,0.16,583,10556,%4.46143,41.0576074,28.9514562,15,207,1199,3333,5484,6999
,354,Tomtom,Beyoğlu,,,2657,%1.12296,41.0302066,28.9775437,4,52,302,839,1380,1762
,361,Sütlüce,Beyoğlu,0.081,62042,12474,%5.27206,41.0510201,28.944692,18,244,1416,3939,6480,8271
,377,İstiklal,Beyoğlu,0.24,43960,4481,%1.89387,41.0416191,28.9692374,6,88,509,1415,2328,2971
,381,Pürtelaş,Beyoğlu,0.14,36746,1872,%0.79119,41.0306987,28.9876883420653,3,37,213,591,973,1241
,410,Şehit Muhtar,Beyoğlu,0.64,26466,1493,%0.63101,41.0367537,28.9818695,2,29,170,471,776,990
,424,Hacımimi,Beyoğlu,0.6,24288,1368,%0.57818,41.0268054,28.9782783,2,27,155,432,711,907
,442,Kuloğlu,Beyoğlu,0.49,21967,1463,%0.61833,41.0329638,28.9802501,2,29,166,462,760,970
,444,Kamerhatun,Beyoğlu,0.17,14670,886,%0.37446,41.0284233,28.9736808,1,17,101,280,460,587
,467,Kocatepe,Beyoğlu,0.5,14273,2136,%0.90277,41.0395972,28.9835719,3,42,243,674,1110,1416
,525,Kılıçalipaşa,Beyoğlu,0.28,13965,2476,%1.04647,41.0284233,28.9736808,4,49,281,782,1286,1642
,529,Şahkulu,Beyoğlu,1,12153,840,%0.35502,41.0276403,28.9745318,1,16,95,265,436,557
,538,Katip Mustafa Çelebi,Beyoğlu,1.5,10356,834,%0.35248,41.0344829,28.9830132,1,16,95,263,433,553
,549,Ömeravni,Beyoğlu,0.66,10244,2092,%0.88417,41.0284233,28.9736808,3,41,238,661,1087,1387
,575,Müeyyetzade,Beyoğlu,0.97,9867,518,%0.21893,41.0263377,28.9747764,1,10,59,164,269,343
,583,Camiikebir,Beyoğlu,1.2,9854,2854,%1.20622,41.0349693,28.9593139,4,56,324,901,1483,1892
,589,Gümüşsuyu,Beyoğlu,0.45,8756,2109,%0.89136,41.037184,28.9885081,3,41,239,666,1096,1398
,601,Hüseyinağa,Beyoğlu,0.76,8119,368,%0.15553,41.0349849,28.9784671,1,7,42,116,191,244
,606,Bereketzade,Beyoğlu,0.72,6826,405,%0.17117,41.0253357,28.9733181,1,8,46,128,210,269
,610,Asmalımescit,Beyoğlu,0.65,5988,463,%0.19568,41.0284233,28.9736808,1,9,53,146,241,307
,629,Evliya Çelebi,Beyoğlu,2.6,5864,283,%0.11961,41.0303999,28.9731508,0,6,32,89,147,188
,661,Bedrettin,Beyoğlu,1.1,5581,752,%0.31783,41.0289452,28.9688617,1,15,85,237,391,499
,693,Emekyemez,Beyoğlu,1.2,4880,121,%0.05114,41.0260034,28.9703855,0,2,14,38,63,80
,739,Kemankeş Kara Mustafa Paşa,Beyoğlu,0.9,3412,128,%0.05410,41.0284233,28.9736808,0,3,15,40,66,85
,752,Arapcami,Beyoğlu,1.1,2956,91.0,%0.03846,41.0284233,28.9736808,0,2,10,29,47,60
Büyükçekmece,,,,,,243474,,,,156,2629,18543,60571,110339,146293
,418,Atatürk,Büyükçekmece,1.2,15106,18711,%7.68501,41.0122636,28.6004016,12,202,1425,4655,8480,11243
,446,Mimaroba,Büyükçekmece,1.4,13530,18376,%7.54742,41.0045868,28.5372886,12,198,1400,4572,8328,11041
,480,Dizdariye,Büyükçekmece,0.58,11959,6987,%2.86971,41.0206023,28.5784482,4,75,532,1738,3166,4198
,534,Fatih,Büyükçekmece,2,9822,19379,%7.95937,41.0208293,28.586099,12,209,1476,4821,8782,11644
,537,Ekinoba,Büyükçekmece,1.2,9675,12040,%4.94509,41.0101834,28.542241,8,130,917,2995,5456,7234
,543,Sinanoba,Büyükçekmece,1.6,9356,14778,%6.06964,40.9970063,28.5365245,9,160,1126,3676,6697,8879
,586,Muratçeşme,Büyükçekmece,2.4,6430,15632,%6.42040,41.021654,28.579757,10,169,1191,3889,7084,9393
,619,Pınartepe,Büyükçekmece,3.7,4962,18425,%7.56754,41.003226,28.6018529,12,199,1403,4584,8350,11071
,647,Mimarsinan,Büyükçekmece,2.5,3472,8814,%3.62010,41.0160925,28.5604373,6,95,671,2193,3994,5296
,651,Ulus,Büyükçekmece,4.7,3375,15732,%6.46147,41.0305283,28.5494574,10,170,1198,3914,7130,9453
,656,Cumhuriyet,Büyükçekmece,2.4,3195,7553,%3.10218,41.0183305,28.6201513,5,82,575,1879,3423,4538
,664,Hürriyet,Büyükçekmece,6.9,3006,20603,%8.46209,41.0315845,28.5474609,13,222,1569,5126,9337,12379
,700,Kumburgaz Merkez,Büyükçekmece,4,1711,6850,%2.81344,41.0585379,28.4718935,4,74,522,1704,3104,4116
,717,Yenimahalle,Büyükçekmece,1.6,1280,1986,%0.81569,41.0220765,28.474104,1,21,151,494,900,1193
,723,Türkoba,Büyükçekmece,11.5,1144,13189,%5.41701,41.0342715,28.5232446,8,142,1004,3281,5977,7925
,724,Güzelce,Büyükçekmece,6,1141,6836,%2.80769,40.999476,28.5120854,4,74,521,1701,3098,4107
,726,19 Mayıs,Büyükçekmece,7.5,1106,8337,%3.42418,41.0224834,28.5818267,5,90,635,2074,3778,5009
,738,Çakmaklı,Büyükçekmece,5.5,942,5137,%2.10988,41.0540727,28.6222488,3,55,391,1278,2328,3087
,745,Alkent,Büyükçekmece,6.5,712,4635,%1.90369,41.0771599,28.6194181,3,50,353,1153,2101,2785
,758,Kamiloba,Büyükçekmece,14.1,481,6800,%2.79291,41.0461249,28.4321197,4,73,518,1692,3082,4086
,759,Bahçelievler,Büyükçekmece,7.2,478,3428,%1.40795,41.0181451,28.4843571,2,37,261,853,1554,2060
,762,Celaliye,Büyükçekmece,13.4,410,5484,%2.25240,41.0517357,28.4184843,4,59,418,1364,2485,3295
,765,Ahmediye,Büyükçekmece,3,406,1233,%0.50642,41.0908328,28.5168102,1,13,94,307,559,741
,815,Karaağaç,Büyükçekmece,28.3,89.4,2529,%1.03871,41.1086525,28.5908071,2,27,193,629,1146,1520
Çatalca,,,,,,69057,,,,131,2601,21332,79177,157324,216504
,743,Ferhatpaşa,Çatalca,0.51,89562,21572,%31.23796,41.141659,28.4630541,42,825,6767,25116,49905,68678
,773,Kaleiçi,Çatalca,0.5,86504,7503,%10.86494,41.1445195,28.4582207,14,287,2354,8736,17358,23887
,786,Kestanelik,Çatalca,0.42,84393,2286,%3.31031,41.235188,28.495035,4,87,717,2662,5288,7278
,789,Çanakça,Çatalca,0.21,79991,2598,%3.76211,41.245892,28.49407,5,99,815,3025,6010,8271
,792,Gökçeali,Çatalca,0.59,79872,1812,%2.62392,41.2011203,28.4435209,3,69,568,2110,4192,5769
,793,Oklalı,Çatalca,0.17,75555,1345,%1.94767,41.224525,28.475758,3,51,422,1566,3112,4282
,803,Çakıl,Çatalca,0.44,74680,2491,%3.60717,41.1247706,28.4485283,5,95,781,2900,5763,7930
,820,Subaşı,Çatalca,0.24,69474,1444,%2.09103,41.2267723,28.458469,3,55,453,1681,3341,4597
,821,Kabakça,Çatalca,0.49,68758,1624,%2.35168,41.2284603,28.3695911,3,62,509,1891,3757,5170
,822,Muratbey Merkez,Çatalca,0.62,54987,1409,%2.04034,41.0957829,28.493608,3,54,442,1640,3260,4486
,823,Çiftlikköy,Çatalca,0.61,46651,1872,%2.71080,41.340626,28.407293,4,72,587,2180,4331,5960
,831,Akalan,Çatalca,0.72,46195,1085,%1.57117,41.257679,28.419617,2,42,340,1263,2510,3454
,834,Ovayenice,Çatalca,0.76,29066,1172,%1.69715,41.100868,28.419697,2,45,368,1365,2711,3731
,841,İhsaniye,Çatalca,2.7,16520,1641,%2.37630,41.2544762,28.3585871,3,63,515,1911,3796,5224
,847,İzettin,Çatalca,0.24,15916,1017,%1.47270,41.1436804,28.4605154,2,39,319,1184,2353,3238
,850,Örcünlü,Çatalca,1.2,2162,561,%0.81237,41.223648,28.523932,1,21,176,653,1298,1786
,854,Hisarbeyli,Çatalca,,,369,%0.53434,41.368565,28.474049,1,14,116,430,854,1175
,857,Bahşayiş,Çatalca,0.38,66533,367,%0.53145,41.1112665,28.5407916,1,14,115,427,849,1168
,859,Karacaköy,Çatalca,0.35,62919,2490,%3.60572,41.4022498,28.3816684,5,95,781,2899,5760,7927
,861,Gümüşpınar,Çatalca,0.61,59240,851,%1.23232,41.314438,28.285694,2,33,267,991,1969,2709
,862,Elbasan,Çatalca,0.45,57208,563,%0.81527,41.139164,28.415209,1,22,177,655,1302,1792
,863,Hallaçlı,Çatalca,0.28,56068,1213,%1.75652,41.3204276,28.1000039,2,46,381,1412,2806,3862
,865,Örencik,Çatalca,0.47,55498,790,%1.14398,41.329559,28.482586,2,30,248,920,1828,2515
,870,Ormanlı,Çatalca,0.53,53999,1051,%1.52193,41.392712,28.453407,2,40,330,1224,2431,3346
,871,Dağyenice,Çatalca,0.68,53445,713,%1.03248,41.273354,28.482552,1,27,224,830,1649,2270
,873,Atatürk,Çatalca,0.54,51954,1127,%1.63199,41.4121535,28.1851826,2,43,354,1312,2607,3588
,874,Başak,Çatalca,0.34,51007,386,%0.55896,41.332951,28.445322,1,15,121,449,893,1229
,875,İnceğiz,Çatalca,0.49,49768,772,%1.11792,41.1859009,28.4035095,1,30,242,899,1786,2458
,877,Kalfa,Çatalca,0.55,49086,776,%1.12371,41.289814,28.437193,1,30,243,903,1795,2471
,895,Aydınlar,Çatalca,0.48,48002,829,%1.20046,41.3750651,28.2055315,2,32,260,965,1918,2639
,904,Yazlık,Çatalca,0.61,47099,356,%0.51552,41.293289,28.518435,1,14,112,414,824,1133
,907,Karamandere,Çatalca,0.54,46954,553,%0.80079,41.376106,28.3065,1,21,173,644,1279,1761
,910,Kızılcaali,Çatalca,0.53,46681,220,%0.31858,41.2362303,28.5594042,0,8,69,256,509,700
,914,Yalıköy,Çatalca,0.45,46595,1469,%2.12723,41.477085,28.296103,3,56,461,1710,3398,4677
,917,Nakkaş,Çatalca,0.35,41283,818,%1.18453,41.1872859,28.5561065,2,31,257,952,1892,2604
,935,Belgrat,Çatalca,0.44,41152,358,%0.51841,41.3784267,28.3840477,1,14,112,417,828,1140
,939,Celepköy,Çatalca,0.48,38436,239,%0.34609,41.3654071,28.4997591,0,9,75,278,553,761
,940,Yaylacık,Çatalca,0.56,38416,58.0,%0.08399,41.3571169,28.2198949,0,2,18,68,134,185
,950,Fatih,Çatalca,0.49,38105,1257,%0.29690,41.4136692,28.1882968,0,8,64,239,474,653
Çekmeköy,,,,,,248859,,,,56,1010,7552,25907,48765,65536
,91,Çamlık,Çekmeköy,0.54,32079,20672,%8.30671,41.0172216,29.193114,5,84,627,2152,4051,5444
,175,Mehmet Akif,Çekmeköy,1.1,28559,31401,%12.61799,41.0208017,29.1857684,7,127,953,3269,6153,8269
,208,Hamidiye,Çekmeköy,0.56,27721,29311,%11.77816,41.0268635,29.1885101,7,119,889,3051,5744,7719
,244,Cumhuriyet,Çekmeköy,1.1,19359,12709,%5.10691,41.0227969,29.2244591,3,52,386,1323,2490,3347
,259,Aydınlar,Çekmeköy,0.84,18994,16681,%6.70299,41.0173692,29.2304405,4,68,506,1737,3269,4393
,320,Güngören,Çekmeköy,0.59,17355,8228,%3.30629,41.0268708,29.2201494,2,33,250,857,1612,2167
,334,Mimar Sinan,Çekmeköy,0.96,15760,24057,%9.66692,41.032758,29.1750966,5,98,730,2504,4714,6335
,371,Sultançiftliği,Çekmeköy,0.87,15713,15472,%6.21718,41.0331471,29.2236464,4,63,470,1611,3032,4075
,453,Soğukpınar,Çekmeköy,0.77,14845,7939,%3.19016,41.0246995,29.2340241,2,32,241,826,1556,2091
,456,Kirazlıdere,Çekmeköy,0.78,13117,8925,%3.58637,41.0197528,29.2160814,2,36,271,929,1749,2350
,468,Taşdelen,Çekmeköy,0.72,9054,7411,%2.97799,41.031185,29.2311306,2,30,225,772,1452,1952
,602,Ekşioğlu,Çekmeköy,2.6,8755,7110,%2.85704,41.0301325,29.2394911,2,29,216,740,1393,1872
,626,Alemdağ,Çekmeköy,1.6,8373,6527,%2.62277,41.0496927,29.237004,1,26,198,679,1279,1719
,668,Merkez,Çekmeköy,3.7,8086,24594,%9.88270,41.0369088,29.1771094,6,100,746,2560,4819,6477
,682,Nişantepe,Çekmeköy,1.2,7294,10236,%4.11317,41.0408946,29.2656098,2,42,311,1066,2006,2696
,706,Çatalmeşe,Çekmeköy,1.6,7167,8360,%3.35933,41.0501563,29.2438632,2,34,254,870,1638,2202
,801,Koçullu,Çekmeköy,1.2,5878,1365,%0.54850,41.077195,29.3483633,0,6,41,142,267,359
,807,Reşadiye,Çekmeköy,1.4,3751,2132,%0.85671,41.0784643,29.2549655,0,9,65,222,418,561
,812,Sırapınar,Çekmeköy,6.2,3120,885,%0.35562,41.1017648,29.3281738,0,4,27,92,173,233
,816,Ömerli,Çekmeköy,3.7,2823,4073,%1.63667,41.0770043,29.3303927,1,17,124,424,798,1073
,833,Hüseyinli,Çekmeköy,,,771,%0.30981,41.122304,29.2927641,0,3,23,80,151,203
Esenler,,,,,,454569,,,,89,1610,12191,42270,80137,108029
,2,Fatih,Esenler,0.43,46574,45797,%10.07482,41.043386,28.8674705,9,162,1228,4259,8074,10884
,4,Nenehatun,Esenler,0.48,38777,43328,%9.53167,41.0370239,28.8802419,8,154,1162,4029,7638,10297
,6,Kâzım Karabekir,Esenler,0.3,30615,35790,%7.87339,41.0464076,28.8731584,7,127,960,3328,6310,8506
,10,Davutpaşa,Esenler,1.3,30091,16727,%3.67975,41.0317026,28.8906911,3,59,449,1555,2949,3975
,11,Turgutreis,Esenler,1.4,29109,46953,%10.32912,41.0376175,28.8824519,9,166,1259,4366,8277,11158
,15,Mimarsinan,Esenler,0.54,28347,13092,%2.88009,41.0376175,28.8824519,3,46,351,1217,2308,3111
,17,Menderes,Esenler,1,27297,32987,%7.25676,41.0395441,28.8804397,6,117,885,3067,5815,7839
,24,Namık Kemal,Esenler,0.51,27259,16334,%3.59329,41.0311027,28.8955728,3,58,438,1519,2880,3882
,26,Fevzi Çakmak,Esenler,0.66,24605,33610,%7.39382,41.0387523,28.883188,7,119,901,3125,5925,7987
,68,Havaalanı,Esenler,1.1,24510,34313,%7.54847,41.0563871,28.8694017,7,122,920,3191,6049,8155
,112,Birlik,Esenler,0.44,22492,28455,%6.25978,41.0516003,28.8715638,6,101,763,2646,5016,6762
,116,Tuna,Esenler,0.74,12719,33398,%7.34718,41.0529878,28.8588572,7,118,896,3106,5888,7937
,228,Kemer,Esenler,0.88,12405,22007,%4.84129,41.0526257,28.876571,4,78,590,2046,3880,5230
,395,Oruçreis,Esenler,0.92,10412,45372,%9.98132,41.058995,28.8572785,9,161,1217,4219,7999,10783
,404,Yavuz Selim,Esenler,0.94,5012,3839,%0.84454,41.0352866,28.8925614,1,14,103,357,677,912
,688,Çiftehavuzlar,Esenler,9.5,3634,2567,%0.56471,41.0266695,28.8960455,1,9,69,239,453,610
Esenyurt,,,,,,846492,,,,127,1973,12878,39442,68908,89874
,30,İncirtepe,Esenyurt,29.2,1261,25506,%3.01314,41.0206769,28.6909976,4,59,388,1188,2076,2708
,38,Saadetdere,Esenyurt,16.5,295,21850,%2.58124,41.0081748,28.6976834,3,51,332,1018,1779,2320
,52,Mehterçeşme,Esenyurt,26.8,133,36090,%4.26348,41.0185614,28.6628747,5,84,549,1682,2938,3832
,56,Üçevler,Esenyurt,47.1,110,25490,%3.01125,41.0266491,28.6801351,4,59,388,1188,2075,2706
,63,Şehitler,Esenyurt,27.5,82.9,15915,%1.88011,41.0332974,28.6550502,2,37,242,742,1296,1690
,66,Talatpasa,Esenyurt,10.8,52.8,26077,%3.08060,41.0229955,28.6721151,4,61,397,1215,2123,2769
,71,Süleymaniye,Esenyurt,15.7,42.8,28839,%3.40688,41.0439199,28.6810152,4,67,439,1344,2348,3062
,72,Pınar,Esenyurt,5,32.3,36477,%4.30920,41.0335095,28.6655807,5,85,555,1700,2969,3873
,80,Çınar,Esenyurt,8.3,23.6,28093,%3.31876,41.0411611,28.6642095,4,65,427,1309,2287,2983
,87,Necip Fazıl Kısakürek,Esenyurt,18.4,8.1,17161,%2.02731,41.0309904,28.6527815,3,40,261,800,1397,1822
,92,İnönü,Esenyurt,,,24472,%2.89099,41.0270909,28.6866366,4,57,372,1140,1992,2598
,97,Balıkyolu,Esenyurt,0.23,66843,26828,%3.16932,41.0396612,28.6904284,4,63,408,1250,2184,2848
,101,Mehmet Akif Ersoy,Esenyurt,0.47,57079,22844,%2.69867,41.0138079,28.6667966,3,53,348,1064,1860,2425
,107,Bağlarçeşme,Esenyurt,0.43,56720,28514,%3.36849,41.0350405,28.6760001,4,66,434,1329,2321,3027
,108,Fatih,Esenyurt,0.44,56537,25282,%2.98668,41.0298974,28.6746475,4,59,385,1178,2058,2684
,110,Hürriyet,Esenyurt,0.31,54105,24769,%2.92608,41.031599,28.6466704,4,58,377,1154,2016,2630
,113,Yenikent,Esenyurt,0.32,53145,20962,%2.47634,41.0368086,28.6808544,3,49,319,977,1706,2226
,147,Cumhuriyet,Esenyurt,0.35,52339,14369,%1.69748,41.0169451,28.6489243,2,33,219,670,1170,1526
,148,İstiklal,Esenyurt,0.36,51074,18108,%2.13918,41.0370676,28.6490868,3,42,275,844,1474,1923
,159,Örnek,Esenyurt,0.46,47657,18499,%2.18537,41.0447965,28.6703501,3,43,281,862,1506,1964
,160,Namik Kemal,Esenyurt,0.31,47237,21366,%2.52406,41.009735,28.692851721415,3,50,325,996,1739,2268
,164,Yunus Emre,Esenyurt,0.5,43941,18739,%2.21372,41.0285572,28.693938,3,44,285,873,1525,1990
,170,Turgut Özal,Esenyurt,0.47,43577,24050,%2.84114,41.0046495,28.6938819,4,56,366,1121,1958,2553
,205,Sultaniye,Esenyurt,0.45,41107,17294,%2.04302,41.03369,28.6827178,3,40,263,806,1408,1836
,233,Yeşilkent,Esenyurt,0.42,39543,31751,%3.75089,41.0265322,28.6637265,5,74,483,1479,2585,3371
,238,Battalgazi,Esenyurt,0.29,39020,15621,%1.84538,41.0394344,28.6562357,2,36,238,728,1272,1659
,342,Barbaros Hayrettin Paşa,Esenyurt,0.31,36301,21017,%2.48284,41.0182515,28.6414475,3,49,320,979,1711,2231
,353,Aşık Veysel,Esenyurt,0.41,34016,15953,%1.88460,41.0585357,28.6738904,2,37,243,743,1299,1694
,380,Akevler,Esenyurt,0.21,32986,10294,%1.21608,41.0191199,28.67678,2,24,157,480,838,1093
,406,Güzelyurt (Haramidere),Esenyurt,0.36,32722,15146,%1.78927,41.0342862,28.6801113,2,35,230,706,1233,1608
,408,Mevlana,Esenyurt,0.28,29292,13636,%1.61088,41.0124992,28.6567189,2,32,207,635,1110,1448
,422,Piri Reis,Esenyurt,0.62,28594,11389,%1.34544,41.0199712,28.6480848,2,27,173,531,927,1209
,450,Esenkent,Esenyurt,0.067,25357,10183,%1.20296,41.0593586,28.6809268,2,24,155,474,829,1081
,547,Akşemseddin,Esenyurt,0.78,22294,6519,%0.77012,41.0172962,28.6944236,1,15,99,304,531,692
,552,Selahaddin Eyyubi,Esenyurt,0.13,20349,22624,%2.67268,41.044908,28.6622124,3,53,344,1054,1842,2402
,556,Atatürk,Esenyurt,0.066,18549,13077,%1.54485,41.037115,28.636196,2,30,199,609,1065,1388
,560,Osmangazi,Esenyurt,0.17,18164,29605,%3.49738,41.0415514,28.6458279,4,69,450,1379,2410,3143
,571,Ardıçlıevler,Esenyurt,0.64,17917,8524,%1.00698,41.051988,28.67132,1,20,130,397,694,905
,574,Zafer,Esenyurt,0.15,16859,11807,%1.39482,41.0176797,28.6855692,2,28,180,550,961,1254
,596,Ardıçlı,Esenyurt,0.089,14630,6767,%0.79942,41.0461686,28.6798101,1,16,103,315,551,718
,641,Koza,Esenyurt,0.13,12590,5159,%0.60946,41.0645603,28.6652589,1,12,78,240,420,548
,659,Akçaburgaz,Esenyurt,0.97,12144,19365,%2.28768,41.0733127,28.6334269,3,45,295,902,1576,2056
,672,Orhan Gazi,Esenyurt,0.83,11002,10461,%1.23581,41.0655655,28.658303,2,24,159,487,852,1111
Eyüpsultan,,,,,,381114,,,,255,4324,30690,100808,184313,244736
,37,Rami Cuma,Eyüpsultan,0.25,10248,14651,%3.84426,41.0498909,28.9216081,10,166,1180,3875,7085,9408
,114,Esentepe,Eyüpsultan,0.11,8082,19987,%5.24436,41.0686652,28.9393536,13,227,1610,5287,9666,12835
,157,Düğmeciler,Eyüpsultan,0.086,8064,18435,%4.83714,41.0466275,28.9255064,12,209,1485,4876,8915,11838
,214,Silahtarağa,Eyüpsultan,0.051,4958,9263,%2.43051,41.0613259,28.940346,6,105,746,2450,4480,5948
,218,Yeşilpınar,Eyüpsultan,0.1,4044,38497,%10.10118,41.0785373,28.9195063,26,437,3100,10183,18618,24721
,227,Akşemsettin,Eyüpsultan,0.2,3844,41073,%10.77709,41.0848272,28.9276515,27,466,3308,10864,19864,26375
,234,İslambey,Eyüpsultan,0.14,3489,15321,%4.02006,41.0467033,28.931477,10,174,1234,4053,7409,9839
,240,Çırçır,Eyüpsultan,0.18,3433,28537,%7.48779,41.0798955,28.9382959,19,324,2298,7548,13801,18325
,243,Rami Yeni,Eyüpsultan,0.085,2858,13904,%3.64825,41.0515003,28.9175748,9,158,1120,3678,6724,8929
,271,Nişancı,Eyüpsultan,0.15,2786,16191,%4.24834,41.0432626,28.9360561,11,184,1304,4283,7830,10397
,272,Karadolap,Eyüpsultan,0.078,2635,26979,%7.07898,41.0747846,28.934217,18,306,2173,7136,13047,17325
,294,Sakarya,Eyüpsultan,0.051,2551,9966,%2.61497,41.0647435,28.9405122,7,113,803,2636,4820,6400
,460,Emniyettepe,Eyüpsultan,0.29,2457,9397,%2.46567,41.0700073,28.9490344,6,107,757,2486,4545,6034
,469,Merkez,Eyüpsultan,0.88,2171,10914,%2.86371,41.0474069,28.9356137,7,124,879,2887,5278,7009
,522,Alibeyköy,Eyüpsultan,0.11,1284,9569,%2.51080,41.077272,28.946901,6,109,771,2531,4628,6145
,617,Defterdar,Eyüpsultan,0.31,1178,4709,%1.23559,41.0372014,28.934288,3,53,379,1246,2277,3024
,644,Güzeltepe,Eyüpsultan,0.11,1027,34564,%9.06920,41.0746225,28.9531946,23,392,2783,9142,16716,22196
,673,Topçular,Eyüpsultan,0.15,902,4673,%1.22614,41.0411044,28.9254323,3,53,376,1236,2260,3001
,718,Göktürk Merkez,Eyüpsultan,0.083,581,36843,%9.66719,41.1787211,28.8909689,25,418,2967,9745,17818,23659
,775,Mimarsinan,Eyüpsultan,0.047,510,4882,%1.28098,41.0478358,28.9327383,3,55,393,1291,2361,3135
,798,Pirinççi,Eyüpsultan,0.063,477,3561,%0.93437,41.1632307,28.8506496,2,40,287,942,1722,2287
,806,Mithatpaşa,Eyüpsultan,0.2,407,5179,%1.35891,41.1604821,28.9135587,3,59,417,1370,2505,3326
,819,Akpınar,Eyüpsultan,0.1,242,2275,%0.59693,41.280502,28.809507,2,26,183,602,1100,1461
,835,Işıklar,Eyüpsultan,0.11,132,569,%0.14930,41.2267337,28.8266251,0,6,46,151,275,365
,852,Ağaçlı,Eyüpsultan,,,671,%0.17606,41.2658576,28.8753422,0,8,54,177,325,431
,872,İhsaniye,Eyüpsultan,0.36,68734,160,%0.04198,41.240585,28.8081807,0,2,13,42,77,103
,894,Odayeri,Eyüpsultan,0.46,61812,195,%0.05117,41.2361051,28.8538837,0,2,16,52,94,125
,948,Çiftalan,Eyüpsultan,0.33,59473,149,%0.03910,41.2531131,28.9078193,0,2,12,39,72,96
Fatih,,,,,,433873,,,,716,8647,45097,115365,180752,227009
,29,Atikali,Fatih,0.88,53352,15133,%3.48789,41.0245097,28.9438294,25,300,1566,4006,6277,7883
,57,Seyyid Ömer,Fatih,1.4,53003,26773,%6.17070,41.0094787,28.9313786,44,531,2771,7088,11105,13946
,60,Hırkaişerif,Fatih,0.64,44858,24649,%5.68116,41.006381,28.9758715,41,489,2551,6525,10224,12840
,61,Akşemsettin,Fatih,0.29,43245,24856,%5.72887,41.0188839,28.9460241,41,493,2572,6580,10309,12948
,70,Silivrikapı,Fatih,0.88,41542,16823,%3.87740,41.0054068,28.9268933,28,334,1741,4454,6978,8763
,75,Sümbülefendi,Fatih,0.61,41443,17016,%3.92188,41.00333885,28.9299201258074,28,338,1761,4505,7058,8864
,79,Yavuz Sultan Selim,Fatih,0.6,37646,18294,%4.21644,41.0270411,28.9550654,30,363,1893,4843,7588,9530
,86,Derviş Ali,Fatih,0.7,36586,18632,%4.40086,41.0295845,28.9392841,31,379,1976,5055,7920,9946
,102,Şehremini,Fatih,0.85,34348,22028,%5.20299,41.0138832,28.9327162,37,448,2336,5976,9363,11759
,106,Zeyrek,Fatih,0.32,27603,14769,%3.48842,41.0172116,28.9533439,25,300,1566,4007,6278,7884
