,ID,Neighborhood,District,Area,Population Density,Population,Multiplier,Latitude,Longitude,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
District:,,,,,,Toplam:,,,,Toplam:,Toplam:,Toplam:,Toplam:,Toplam:,Toplam:
,400,Yenisahra,Ataşehir,0.71,16164,11428,%2.69928,40.9887283,29.0906789,11,152,861,2358,3844,4890
,402,Yenişehir,Ataşehir,0.82,15932,13016,%3.07436,40.9939446,29.140645,13,173,981,2686,4378,5570
,457,Küçükbakkalköy,Ataşehir,2.3,12777,29032,%6.85733,40.9803353,29.1130781,29,385,2188,5990,9765,12424
,485,Atatürk,Ataşehir,2.5,11843,30063,%7.10085,40.9908392,29.1265531,30,399,2265,6203,10112,12865
,505,Barbaros,Ataşehir,2.9,11065,32487,%7.67339,40.9902522,29.1035997,32,431,2448,6703,10927,13902
,599,Ferhatpaşa,Ataşehir,3.8,5825,22254,%5.25637,40.9860474,29.1803805,22,295,1677,4592,7485,9523
Avcılar,,,,,,435682,,,,140,2438,17774,59702,110790,148012
,89,Mustafa Kemal Paşa,Avcılar,0.93,50617,47027,%10.79388,41.0017915,28.7060425,15,263,1919,6444,11959,15976
,171,Merkez,Avcılar,0.86,37079,31820,%7.30349,40.9818362,28.7223189,10,178,1298,4360,8092,10810
,179,Gümüşpala,Avcılar,1.1,35971,41317,%9.48329,40.98106,28.7357032,13,231,1686,5662,10507,14036
,241,Denizköşkler,Avcılar,1.7,27287,45942,%10.54485,40.9764683,28.7330024,15,257,1874,6295,11683,15608
,315,Ambarlı,Avcılar,1.8,21054,38318,%8.79495,40.9737318,28.7141652,12,214,1563,5251,9744,13018
,397,Cihangir,Avcılar,3.8,16300,62149,%14.26476,40.9873293,28.7097252,20,348,2535,8516,15804,21113
,434,Yeşilkent,Avcılar,5.1,14168,71783,%16.47601,41.031415,28.7023797,23,402,2928,9837,18254,24386
,568,Üniversite,Avcılar,2.8,7623,21621,%4.96256,40.99205525,28.7229540545493,7,121,882,2963,5498,7345
,625,Tahtakale,Avcılar,11.4,4657,53209,%12.21281,41.0585293,28.728009,17,298,2171,7291,13531,18076
,695,Firuzköy,Avcılar,12.5,1800,22496,%5.16340,41.0085033,28.7100714,7,126,918,3083,5721,7642
Bağcılar,,,,,,748483,,,,245,3853,25580,79470,140111,183381
,5,Yenigün,Bağcılar,0.57,82759,23112,%3.08785,41.0226361,28.8590918,5,83,553,1717,3027,3962
,28,Fatih,Bağcılar,0.81,81140,45242,%6.04449,41.0518502,28.8450387,10,163,1082,3361,5925,7755
,31,Yıldıztepe,Bağcılar,1.1,78772,40160,%5.36552,41.0261986,28.8556979,9,145,960,2983,5260,6884
,32,Çınar,Bağcılar,0.96,74494,36588,%4.88829,41.0368162,28.8605304,8,132,875,2718,4792,6272
,45,Kemalpaşa,Bağcılar,0.7,59967,34581,%4.62015,41.0511389,28.8514469,8,125,827,2569,4529,5928
,55,Kâzım Karabekir,Bağcılar,1.1,52796,28688,%3.83282,41.0256078,28.8455217,7,103,686,2131,3757,4917
,83,Demirkapı,Bağcılar,0.53,49501,55446,%7.40778,41.0497862,28.8367479,13,200,1326,4119,7261,9504
,90,Barbaros,Bağcılar,2,36835,21929,%2.92979,41.0245293,28.8387167,5,79,524,1629,2872,3759
,93,İnönü,Bağcılar,1.3,26433,24735,%3.30468,41.0328836,28.8541921,6,89,591,1837,3239,4240
,95,Sancaktepe,Bağcılar,3.2,19452,19528,%2.60901,41.0366758,28.8571152,4,70,467,1451,2557,3347
,99,Fevzi Çakmak,Bağcılar,4.4,7805,35448,%8.37278,41.0457899,28.8556182,14,226,1498,4655,8207,10742
,117,Kirazlı,Bağcılar,,,43390,%10.24867,41.0318236,28.8422874,18,276,1834,5698,10046,13149
,122,Yenimahalle,Bağcılar,0.23,29809,34907,%8.24499,41.0416128,28.8397196,14,222,1476,4584,8082,10578
,124,Yavuzselim,Bağcılar,0.19,28679,28833,%6.81032,41.0355961,28.8516841,12,184,1219,3786,6676,8738
,136,Hürriyet,Bağcılar,1.3,28268,25196,%5.95127,41.0278845,28.8308208,10,160,1065,3309,5834,7635
,163,Güneşli,Bağcılar,0.38,21258,46831,%11.06143,41.0330866,28.8305182,19,298,1980,6150,10843,14192
,169,Yüzüncü Yıl,Bağcılar,0.29,18610,49136,%11.60587,41.0603851,28.85286,20,313,2077,6453,11377,14890
,215,Merkez,Bağcılar,0.64,12669,26146,%6.17566,41.0323551,28.8633027,11,166,1105,3434,6054,7923
,247,Evren,Bağcılar,2.1,11918,50755,%11.98828,41.0378945,28.8195777,21,323,2145,6665,11752,15381
,281,Göztepe,Bağcılar,1.8,11368,37553,%8.86998,41.0605086,28.835553,15,239,1587,4932,8695,11380
,491,Bağlar,Bağcılar,0.69,11333,15683,%3.70431,41.0228866,28.8248289,6,100,663,2060,3631,4753
,613,Mahmutbey,Bağcılar,1.2,11131,24596,%5.80955,41.0551119,28.8306301,10,157,1040,3230,5695,7454
Bahçelievler,,,,,,598454,,,,187,2913,19148,59005,103488,135177
,7,Hürriyet,Bahçelievler,3,9388,47377,%7.91657,40.9941482,28.8411642,15,231,1516,4671,8193,10701
,9,Siyavuşpaşa,Bahçelievler,1.6,3814,65868,%11.00636,40.9988133,28.8541961,21,321,2107,6494,11390,14878
,13,Zafer,Bahçelievler,0.64,2622,85464,%14.28080,41.0007517,28.8375769,27,416,2734,8426,14779,19304
,18,Soğanlı,Bahçelievler,13.3,1794,71388,%11.92874,41.0109005,28.8555162,22,347,2284,7039,12345,16125
,49,Cumhuriyet,Bahçelievler,,,41720,%6.97130,41.0171118,28.8529333,13,203,1335,4113,7214,9424
,77,Şirinevler,Bahçelievler,0.84,52713,57641,%9.63165,40.9956523,28.8486348,18,281,1844,5683,9968,13020
,94,Fevzi Çakmak,Bahçelievler,0.23,44120,26191,%4.37644,41.0016533,28.8329435,8,127,838,2582,4529,5916
,173,Kocasinan,Bahçelievler,0.81,42019,72738,%12.15432,41.0170357,28.8419751,23,354,2327,7172,12578,16430
,250,Çobançeşme,Bahçelievler,1.5,35666,33552,%5.60645,41.0043769,28.826637,10,163,1074,3308,5802,7579
,340,Bahçelievler,Bahçelievler,0.59,32398,61832,%10.33196,40.9954814,28.8633136,19,301,1978,6096,10692,13966
,566,Yenibosna,Bahçelievler,0.49,31994,34683,%5.79543,41.0134935,28.8251315,11,169,1110,3420,5998,7834
Bakırköy,,,,,,222370,,,,484,5657,28610,71461,110460,138153
,220,Yenimahalle,Bakırköy,0.84,22331,6953,%3.12677,40.9795971,28.8795876,15,177,895,2234,3454,4320
,230,Cevizlik,Bakırköy,1.3,22260,5363,%2.41175,40.9785065,28.8755338,12,136,690,1723,2664,3332
,236,Kartaltepe,Bakırköy,0.81,18332,37778,%16.98880,40.9852114,28.8759551,82,961,4861,12140,18766,23471
,308,Sakızağacı,Bakırköy,1.7,12394,8137,%3.65922,40.9777116,28.8792335,18,207,1047,2615,4042,5055
,358,Zeytinlik,Bakırköy,,,5376,%2.41759,40.9789622,28.8724028,12,137,692,1728,2670,3340
,461,Ataköy 3-4-11. kısım,Bakırköy,0.27,84843,8150,%3.66506,40.9812802,28.8594558,18,207,1049,2619,4048,5063
,482,Ataköy 7-8-9-10. kısım,Bakırköy,0.66,68402,24444,%10.99249,40.9863878,28.8464657,53,622,3145,7855,12142,15186
,494,Zuhuratbaba,Bakırköy,0.6,66463,20966,%9.42843,40.9824138,28.8711297,46,533,2697,6738,10415,13026
,497,Yeşilyurt,Bakırköy,0.55,66380,7816,%3.51486,40.964175,28.8381027,17,199,1006,2512,3883,4856
,504,Ataköy 2-5-6. kısım,Bakırköy,0.57,60866,13671,%6.14786,40.977617,28.8577878,30,348,1759,4393,6791,8493
,530,Osmaniye,Bakırköy,0.5,57400,24126,%10.84949,40.9938982,28.8795871,53,614,3104,7753,11984,14989
,542,Şenlikköy,Bakırköy,1.1,51597,28206,%12.68426,40.9811494,28.7951449,61,718,3629,9064,14011,17524
,640,Basınköy,Bakırköy,0.44,50038,5932,%2.66763,40.979703,28.780426,13,151,763,1906,2947,3685
,679,Ataköy 1. kısım,Bakırköy,0.5,49562,1667,%0.74965,40.9772983,28.8675799,4,42,214,536,828,1036
,696,Yeşilköy,Bakırköy,0.4,49289,23785,%10.69614,40.9589829,28.8225574,52,605,3060,7644,11815,14777
Başakşehir,,,,,,396665,,,,156,2090,11997,33104,54216,69082
,511,Altınşehir,Başakşehir,0.94,46122,14859,%3.74598,41.0689001,28.7529076,6,78,449,1240,2031,2588
,541,Güvercintepe,Başakşehir,0.78,44992,55783,%14.06300,41.0771522,28.7518808,22,294,1687,4655,7624,9715
,573,Başakşehir,Başakşehir,0.64,44894,58445,%14.73410,41.1060988,28.7907747,23,308,1768,4878,7988,10179
,598,Başak,Başakşehir,0.58,43222,70258,%17.71218,41.1034651,28.803761,28,370,2125,5863,9603,12236
,608,Kayabaşı,Başakşehir,1.2,38177,74815,%18.86100,41.1112184,28.7427125,29,394,2263,6244,10226,13030
,624,Bahçeşehir 2. Kısım,Başakşehir,1.3,37356,41437,%10.44635,41.0664773,28.6780738,16,218,1253,3458,5664,7217
,666,Bahçeşehir 1. Kısım,Başakşehir,0.86,30484,24548,%6.18860,41.0638399,28.6911793,10,129,742,2049,3355,4275
,667,Şahintepe,Başakşehir,1.9,26817,34138,%8.60625,41.0731284,28.7264938,13,180,1032,2849,4666,5945
,708,Ziya Gökalp,Başakşehir,1.6,23064,21113,%5.32263,41.0751841,28.7879081,8,111,639,1762,2886,3677
,795,Şamlar,Başakşehir,1.4,11425,1269,%0.31992,41.1249095,28.7390683,0,7,38,106,173,221
Bayrampaşa,,,,,,274197,,,,193,3074,20631,64666,114665,150409
,78,Kartaltepe,Bayrampaşa,,,44460,%16.21462,41.054732,28.9034132,31,499,3345,10485,18593,24388
,129,Vatan,Bayrampaşa,1.4,10911,10015,%3.65248,41.0344293,28.9070683,7,112,754,2362,4188,5494
,140,Muratpaşa,Bayrampaşa,5.9,9414,33908,%12.36629,41.0473011,28.9062926,24,380,2551,7997,14180,18600
,181,Yıldırım,Bayrampaşa,8.1,7185,53027,%19.33902,41.0637573,28.8914625,37,595,3990,12506,22175,29088
,202,Cevatpaşa,Bayrampaşa,12,5851,19093,%6.96324,41.070013,28.8848582,13,214,1437,4503,7984,10473
,206,Terazidere,Bayrampaşa,13.8,5408,15723,%5.73420,41.0327472,28.9014113,11,176,1183,3708,6575,8625
,231,İsmetpaşa,Bayrampaşa,8.7,4770,14605,%5.32646,41.0416528,28.9066208,10,164,1099,3444,6108,8011
,295,Yenidoğan,Bayrampaşa,8.3,2952,18696,%6.81846,41.0372934,28.9122554,13,210,1407,4409,7818,10256
,297,Altıntepsi,Bayrampaşa,11.6,2951,28293,%10.31849,41.0388737,28.9015865,20,317,2129,6673,11832,15520
,362,Orta,Bayrampaşa,14.6,1443,14929,%5.44463,41.0333118,28.9125943,11,167,1123,3521,6243,8189
,470,Kocatepe,Bayrampaşa,7.1,179,21448,%7.82211,41.0484385,28.8955023,15,240,1614,5058,8969,11765
Beşiktaş,,,,,,185447,,,,648,6168,26034,56725,81564,99986
,42,Muradiye,Beşiktaş,1.6,13862,5048,%2.72207,41.0480949,28.9989975,18,168,709,1544,2220,2722
,130,Türkali,Beşiktaş,0.89,13116,10346,%5.57895,41.047674,29.0023049,36,344,1452,3165,4550,5578
,174,Abbasağa,Beşiktaş,0.5,12811,5288,%2.85149,41.0495742,29.0051707,18,176,742,1618,2326,2851
,248,Dikilitaş,Beşiktaş,0.94,11901,16893,%9.10934,41.0554313,29.0048495,59,562,2371,5167,7430,9108
,273,Gayrettepe,Beşiktaş,0.83,9766,14530,%7.83512,41.0622256,29.0061911,51,483,2040,4444,6391,7834
