ID,Neighborhood,District,Population,Multiplier,Latitude,Longitude,Area,EV at P1,EV at P2,EV at P3,EV at P4,EV at P5,EV at P6
89,Mustafa Kemal Paşa,Avcılar,47027,%17.97290,41.0017915,28.7060425,0.93,25,413,2781,7949,11964,14638
171,Merkez,Avcılar,31820,%12.16105,40.9818362,28.7223189,0.86,17,279,1882,5378,8095,9905
179,Gümüşpala,Avcılar,41317,%15.79064,40.98106,28.7357032,1.1,22,363,2444,6984,10511,12861
241,Denizköşkler,Avcılar,45942,%17.55824,40.9764683,28.7330024,1.7,25,403,2717,7765,11688,14301
315,Ambarlı,Avcılar,38318,%14.64447,40.9737318,28.7141652,1.8,20,337,2266,6477,9748,11927
397,Cihangir,Avcılar,62149,%23.75227,40.9873293,28.7097252,3.8,33,546,3676,10505,15811,19346
434,Yeşilkent,Avcılar,71783,%27.43422,41.031415,28.7023797,5.1,38,630,4246,12133,18261,22344
568,Üniversite,Avcılar,21621,%8.26317,40.99205525,28.7229540545493,2.8,12,190,1279,3654,5500,6730
625,Tahtakale,Avcılar,53209,%20.33556,41.0585293,28.728009,11.4,28,467,3147,8994,13536,16563
695,Firuzköy,Avcılar,22496,%8.59758,41.0085033,28.7100714,12.5,12,198,1331,3802,5723,7002
5,Yenigün,Bağcılar,23112,%8.83301,41.0226361,28.8590918,0.57,15,223,1358,3553,5105,6227
28,Fatih,Bağcılar,45242,%17.29071,41.0518502,28.8450387,0.81,30,437,2658,6956,9994,12190
31,Yıldıztepe,Bağcılar,40160,%15.34846,41.0261986,28.8556979,1.1,26,387,2359,6174,8871,10821
32,Çınar,Bağcılar,36588,%13.98330,41.0368162,28.8605304,0.96,24,353,2149,5625,8082,9858
45,Kemalpaşa,Bağcılar,34581,%13.21626,41.0511389,28.8514469,0.7,23,334,2032,5317,7639,9318
55,Kâzım Karabekir,Bağcılar,28688,%10.96406,41.0256078,28.8455217,1.1,19,277,1685,4411,6337,7730
83,Demirkapı,Bağcılar,55446,%21.19050,41.0497862,28.8367479,0.53,36,535,3257,8524,12248,14939
90,Barbaros,Bağcılar,21929,%8.38088,41.0245293,28.8387167,2,14,212,1288,3371,4844,5909
93,İnönü,Bağcılar,24735,%9.45329,41.0328836,28.8541921,1.3,16,239,1453,3803,5464,6665
95,Sancaktepe,Bağcılar,19528,%7.46326,41.0366758,28.8571152,3.2,13,188,1147,3002,4314,5262
99,Fevzi Çakmak,Bağcılar,35448,%13.54761,41.0457899,28.8556182,4.4,23,342,2082,5450,7830,9551
117,Kirazlı,Bağcılar,43390,%16.58290,41.0318236,28.8422874,,28,419,2549,6671,9584,11691
122,Yenimahalle,Bağcılar,34907,%13.34085,41.0416128,28.8397196,0.23,23,337,2051,5367,7711,9405
124,Yavuzselim,Bağcılar,28833,%11.01947,41.0355961,28.8516841,0.19,19,278,1694,4433,6369,7769
136,Hürriyet,Bağcılar,25196,%9.62947,41.0278845,28.8308208,1.3,16,243,1480,3874,5566,6789
163,Güneşli,Bağcılar,46831,%17.89800,41.0330866,28.8305182,0.38,31,452,2751,7200,10345,12618
169,Yüzüncü Yıl,Bağcılar,49136,%18.77893,41.0603851,28.85286,0.29,32,474,2887,7554,10854,13239
215,Merkez,Bağcılar,26146,%9.99255,41.0323551,28.8633027,0.64,17,252,1536,4020,5775,7045
247,Evren,Bağcılar,50755,%19.39768,41.0378945,28.8195777,2.1,33,490,2982,7803,11211,13676
281,Göztepe,Bağcılar,37553,%14.35210,41.0605086,28.835553,1.8,25,362,2206,5774,8295,10118
491,Bağlar,Bağcılar,15683,%5.99377,41.0228866,28.8248289,0.69,10,151,921,2411,3464,4226
613,Mahmutbey,Bağcılar,24596,%9.40016,41.0551119,28.8306301,1.2,16,237,1445,3781,5433,6627
7,Hürriyet,Bahçelievler,47377,%18.10667,40.9941482,28.8411642,3,34,494,2973,7710,11028,13448
9,Siyavuşpaşa,Bahçelievler,65868,%25.17361,40.9988133,28.8541961,1.6,47,686,4134,10720,15332,18697
13,Zafer,Bahçelievler,85464,%32.66286,41.0007517,28.8375769,0.64,61,890,5364,13909,19893,24259
18,Soğanlı,Bahçelievler,71388,%27.28325,41.0109005,28.8555162,13.3,51,744,4480,11618,16617,20264
49,Cumhuriyet,Bahçelievler,41720,%15.94466,41.0171118,28.8529333,,30,435,2618,6790,9711,11842
77,Şirinevler,Bahçelievler,57641,%22.02939,40.9956523,28.8486348,0.84,41,601,3618,9381,13417,16362
94,Fevzi Çakmak,Bahçelievler,26191,%10.00975,41.0016533,28.8329435,0.23,19,273,1644,4262,6096,7434
173,Kocasinan,Bahçelievler,72738,%27.79920,41.0170357,28.8419751,0.81,52,758,4565,11838,16931,20647
250,Çobançeşme,Bahçelievler,33552,%12.82299,41.0043769,28.826637,1.5,24,350,2106,5460,7810,9524
340,Bahçelievler,Bahçelievler,61832,%23.63112,40.9954814,28.8633136,0.59,44,644,3881,10063,14393,17551
566,Yenibosna,Bahçelievler,34683,%13.25524,41.0134935,28.8251315,0.49,25,361,2177,5644,8073,9845
220,Yenimahalle,Bakırköy,6953,%2.65732,40.9795971,28.8795876,0.84,13,137,623,1276,1659,2012
230,Cevizlik,Bakırköy,5363,%2.04965,40.9785065,28.8755338,1.3,10,106,480,984,1280,1552
236,Kartaltepe,Bakırköy,37778,%14.43810,40.9852114,28.8759551,0.81,70,747,3384,6934,9014,10932
308,Sakızağacı,Bakırköy,8137,%3.10982,40.9777116,28.8792335,1.7,15,161,729,1493,1942,2355
358,Zeytinlik,Bakırköy,5376,%2.05461,40.9789622,28.8724028,,10,106,482,987,1283,1556
461,Ataköy 3-4-11. kısım,Bakırköy,8150,%3.11479,40.9812802,28.8594558,0.27,15,161,730,1496,1945,2358
482,Ataköy 7-8-9-10. kısım,Bakırköy,24444,%9.34207,40.9863878,28.8464657,0.66,45,483,2190,4486,5833,7074
494,Zuhuratbaba,Bakırköy,20966,%8.01284,40.9824138,28.8711297,0.6,39,415,1878,3848,5003,6067
497,Yeşilyurt,Bakırköy,7816,%2.98714,40.964175,28.8381027,0.55,14,155,700,1435,1865,2262
504,Ataköy 2-5-6. kısım,Bakırköy,13671,%5.22482,40.977617,28.8577878,0.57,25,270,1225,2509,3262,3956
530,Osmaniye,Bakırköy,24126,%9.22054,40.9938982,28.8795871,0.5,45,477,2161,4428,5757,6982
542,Şenlikköy,Bakırköy,28206,%10.77984,40.9811494,28.7951449,1.1,52,558,2526,5177,6730,8162
640,Basınköy,Bakırköy,5932,%2.26711,40.979703,28.780426,0.44,11,117,531,1089,1415,1717
679,Ataköy 1. kısım,Bakırköy,1667,%0.63710,40.9772983,28.8675799,0.5,3,33,149,306,398,482
696,Yeşilköy,Bakırköy,23785,%9.09021,40.9589829,28.8225574,0.4,44,470,2130,4366,5676,6883
511,Altınşehir,Başakşehir,14859,%5.67885,41.0689001,28.7529076,0.94,9,110,571,1309,1770,2153
541,Güvercintepe,Başakşehir,55783,%21.31929,41.0771522,28.7518808,0.78,33,412,2145,4912,6646,8082
573,Başakşehir,Başakşehir,58445,%22.33666,41.1060988,28.7907747,0.64,35,432,2247,5147,6963,8467
598,Başak,Başakşehir,70258,%26.85139,41.1034651,28.803761,0.58,42,520,2702,6187,8371,10179
608,Kayabaşı,Başakşehir,74815,%28.59299,41.1112184,28.7427125,1.2,44,553,2877,6588,8914,10839
624,Bahçeşehir 2. Kısım,Başakşehir,41437,%15.83650,41.0664773,28.6780738,1.3,25,306,1593,3649,4937,6003
666,Bahçeşehir 1. Kısım,Başakşehir,24548,%9.38182,41.0638399,28.6911793,0.86,15,182,944,2162,2925,3556
667,Şahintepe,Başakşehir,34138,%13.04695,41.0731284,28.7264938,1.9,20,252,1313,3006,4067,4946
708,Ziya Gökalp,Başakşehir,21113,%8.06902,41.0751841,28.7879081,1.6,13,156,812,1859,2515,3059
795,Şamlar,Başakşehir,1269,%0.48499,41.1249095,28.7390683,1.4,1,9,49,112,151,184
78,Kartaltepe,Bayrampaşa,44460,%16.99184,41.054732,28.9034132,,33,490,3016,7972,11512,14045
129,Vatan,Bayrampaşa,10015,%3.82756,41.0344293,28.9070683,1.4,7,110,679,1796,2593,3164
140,Muratpaşa,Bayrampaşa,33908,%12.95905,41.0473011,28.9062926,5.9,25,373,2300,6080,8780,10712
181,Yıldırım,Bayrampaşa,53027,%20.26600,41.0637573,28.8914625,8.1,39,584,3597,9508,13730,16752
202,Cevatpaşa,Bayrampaşa,19093,%7.29701,41.070013,28.8848582,12,14,210,1295,3423,4944,6032
206,Terazidere,Bayrampaşa,15723,%6.00906,41.0327472,28.9014113,13.8,12,173,1067,2819,4071,4967
231,İsmetpaşa,Bayrampaşa,14605,%5.58178,41.0416528,28.9066208,8.7,11,161,991,2619,3782,4614
295,Yenidoğan,Bayrampaşa,18696,%7.14529,41.0372934,28.9122554,8.3,14,206,1268,3352,4841,5906
297,Altıntepsi,Bayrampaşa,28293,%10.81309,41.0388737,28.9015865,11.6,21,312,1919,5073,7326,8938
362,Orta,Bayrampaşa,14929,%5.70560,41.0333118,28.9125943,14.6,11,164,1013,2677,3865,4716
470,Kocatepe,Bayrampaşa,21448,%8.19705,41.0484385,28.8955023,7.1,16,236,1455,3846,5553,6776
42,Muradiye,Beşiktaş,5048,%1.92926,41.0480949,28.9989975,1.6,13,106,396,699,875,1054
130,Türkali,Beşiktaş,10346,%3.95406,41.047674,29.0023049,0.89,26,218,811,1432,1793,2160
174,Abbasağa,Beşiktaş,5288,%2.02098,41.0495742,29.0051707,0.5,13,112,415,732,917,1104
248,Dikilitaş,Beşiktaş,16893,%6.45621,41.0554313,29.0048495,0.94,42,356,1324,2338,2928,3527
273,Gayrettepe,Beşiktaş,14530,%5.55311,41.0622256,29.0061911,0.83,36,307,1139,2011,2518,3034
300,Mecidiye,Beşiktaş,10766,%4.11458,41.0520844,29.0203549,2,27,227,844,1490,1866,2248
425,Sinanpaşa,Beşiktaş,2534,%0.96845,41.0428133,29.0048711,2.3,6,53,199,351,439,529
431,Ulus,Beşiktaş,7159,%2.73605,41.0646636,29.0270709,2.4,18,151,561,991,1241,1495
438,Cihannüma,Beşiktaş,3898,%1.48975,41.0470226,29.0080617,0.56,10,82,306,539,676,814
476,Nisbetiye,Beşiktaş,12435,%4.75244,41.0718257,29.0222477,2.5,31,262,975,1721,2155,2596
523,Akatlar,Beşiktaş,15624,%5.97122,41.08686495,29.0235417246378,1,39,330,1225,2162,2708,3262
527,Vişnezade,Beşiktaş,6758,%2.58279,41.0416345,28.9982257,4,17,143,530,935,1171,1411
532,Ortaköy,Beşiktaş,9556,%3.65214,41.0546272,29.0281901,0.73,24,202,749,1322,1656,1995
533,Etiler,Beşiktaş,12023,%4.59498,41.0840093,29.0366077,2.6,30,254,943,1664,2084,2510
551,Arnavutköy,Beşiktaş,3933,%1.50312,41.0683942,29.0411538,1.3,10,83,308,544,682,821
558,Levazım,Beşiktaş,6142,%2.34737,41.0627178,29.0194489,0.99,15,130,482,850,1065,1282
581,Kültür,Beşiktaş,4925,%1.88225,41.0728647,29.032359,3.4,12,104,386,682,854,1028
593,Balmumcu,Beşiktaş,3889,%1.48631,41.0590382,29.0147694,3.6,10,82,305,538,674,812
597,Konaklar,Beşiktaş,15350,%5.86650,41.0949484,29.0152313,5.4,38,324,1203,2124,2661,3205
604,Yıldız,Beşiktaş,6232,%2.38176,41.0479707,29.0145236,4.1,15,131,489,862,1080,1301
621,Bebek,Beşiktaş,5891,%2.25144,41.0790159,29.0439589,3.6,15,124,462,815,1021,1230
650,Kuruçeşme,Beşiktaş,3082,%1.17789,41.0623719,29.03454,3.7,8,65,242,427,534,644
665,Levent,Beşiktaş,3145,%1.20196,41.0815723,29.0169502,4.8,8,66,247,435,545,657
439,Kavacık,Beykoz,22371,%8.54981,41.0930051,29.0861909,3.3,19,311,2066,5836,8726,10672
451,Çiğdem,Beykoz,11619,%4.44058,41.1103916,29.0996225,4.6,10,162,1073,3031,4532,5543
455,Çamlıbahçe,Beykoz,6405,%2.44788,41.1486212,29.0831591,5.2,6,89,592,1671,2498,3055
483,Soğuksu,Beykoz,11133,%4.25484,41.1132417,29.1075374,13.5,10,155,1028,2904,4343,5311
536,Ortaçeşme,Beykoz,8065,%3.08230,41.1454717,29.0873267,3.5,7,112,745,2104,3146,3847
546,İncirköy,Beykoz,18130,%6.92897,41.1186424,29.1000211,11.8,16,252,1675,4729,7072,8649
548,Çubuklu,Beykoz,21051,%8.04533,41.105633,29.08403,10.6,18,293,1945,5491,8211,10042
563,Yenimahalle,Beykoz,19458,%7.43651,41.06711325,29.0880133515378,8.6,17,270,1797,5076,7590,9282
579,Paşabahçe,Beykoz,3894,%1.48822,41.1158743,29.0954233,16.1,3,54,360,1016,1519,1858
600,Gümüşsuyu,Beykoz,14232,%5.43922,41.1274751,29.1019054,5.7,12,198,1315,3713,5551,6789
609,Yalıköy,Beykoz,5471,%2.09092,41.1376015,29.0859262,8.6,5,76,505,1427,2134,2610
636,Tokatköy,Beykoz,15449,%5.90434,41.1512733,29.0902937,12.4,13,215,1427,4030,6026,7370
637,Göksu,Beykoz,2830,%1.08158,41.0788847,29.0735518,22.5,2,39,261,738,1104,1350
639,Göztepe,Beykoz,10016,%3.82794,41.081094,29.0800249,12.1,9,139,925,2613,3907,4778
655,Kanlıca,Beykoz,4242,%1.62122,41.0997201,29.0660785,11.2,4,59,392,1107,1655,2024
677,Anadoluhisarı,Beykoz,2644,%1.01049,41.08212885,29.0670471152512,10.6,2,37,244,690,1031,1261
683,Rüzgarlıbahçe,Beykoz,8011,%3.06167,41.0951633,29.0989642,17,7,111,740,2090,3125,3822
703,Merkez,Beykoz,6064,%2.31756,41.1344539,29.0926456,16.4,5,84,560,1582,2365,2893
711,Acarlar,Beykoz,7319,%2.79719,41.1124198,29.1268607,14.3,6,102,676,1909,2855,3491
713,Çiftlik,Beykoz,5358,%2.04773,41.0805835,29.1402268,14.7,5,74,495,1398,2090,2556
720,Fatih,Beykoz,4342,%1.65944,41.0903014,29.1239233,29.4,4,60,401,1133,1694,2071
728,Örnekköy,Beykoz,3982,%1.52185,41.1424229,29.1459882,,3,55,368,1039,1553,1900
731,Çengeldere,Beykoz,5005,%1.91282,41.0950772,29.1461826,0.96,4,70,462,1306,1952,2388
746,Elmalı,Beykoz,2989,%1.14234,41.1368318,29.1324278,2.6,3,42,276,780,1166,1426
750,Görele,Beykoz,2020,%0.77201,41.1154704,29.1476182,4.6,2,28,187,527,788,964
751,Akbaba,Beykoz,2726,%1.04183,41.1504431,29.1154018,1.2,2,38,252,711,1063,1300
766,Anadolukavağı,Beykoz,2104,%0.80411,41.17391,29.0886888,2.5,2,29,194,549,821,1004
768,Yavuz Selim,Beykoz,5072,%1.93843,41.0810813,29.1566828,7.3,4,71,469,1323,1978,2420
