District / Period,1,2,3,4,5,6
Beşiktaş,0.01531,0.12262,0.43565,0.79898,0.96697,0.99773
Fatih,0.00743,0.0755,0.33142,0.71362,0.94109,0.99483
Maltepe,0.00367,0.04638,0.24794,0.62514,0.90642,0.9898
Küçükçekmece,0.00285,0.03878,0.22214,0.5929,0.89158,0.98729
Çekmeköy,0.002,0.03019,0.18997,0.54855,0.86907,0.98308
