Period,1,2,3,4,5,6
Turkey,"15,829,201","18,806,223","22,343,137","26,545,245","31,537,649","37,468,983"
İstanbul,"2,952,761","3,508,091","4,167,863","4,951,720","5,882,997","6,989,422"
