ID,Type,Name,District,Coords,Latitude,Longitude
53,PARK,EMİRHAN  PARKI,BEŞİKTAŞ,"41.05861583 , 29.00885761",41.05861583,29.00885761
54,PARK,CEMİL TOPUZLU PARKI,BEŞİKTAŞ,"41.05475277 , 29.03471947",41.05475277,29.03471947
55,PARK,TOPHANELİ KIDEMLİ YÜZBAŞI HAKKI EFENDİ PARKI,BEYOĞLU,"41.02697652 , 28.97981465",41.02697652,28.97981465
56,PARK,CEZAYİRLİ HASAN PAŞA PARKI,BEYOĞLU,"41.03038799 , 28.96706879",41.03038799,28.96706879
57,PARK,SURURİ PARKI,BEYOĞLU,"41.03748958 , 28.97150517",41.03748958,28.97150517
58,PARK,MAHMUT ŞEVKET PAŞA PARKI,KAĞITHANE,"41.05445342 , 28.96155417",41.05445342,28.96155417
59,PARK,BEYOĞLU HACI AHMET PARKI,BEYOĞLU,"41.04372459 , 28.97292137",41.04372459,28.97292137
60,PARK,TAKSİM GEZİ PARKI,BEYOĞLU,"41.03865085 , 28.98665965",41.03865085,28.98665965
61,PARK,KARAKÖY SAHİL PARKI,BEYOĞLU,"41.02372676 , 28.96913946",41.02372676,28.96913946
62,PARK,KIBRIS BARIŞ ORMANI,BEYOĞLU,"41.05438870 , 28.95416200",41.05438870,28.95416200
63,PARK,ÇAĞLAYAN ADLİYE SARAYI-ABİDEİ HÜRRİYET VE ŞEHİTLİK,ŞİŞLİ,"41.06825430 , 28.98251295",41.06825430,28.98251295
64,PARK,İNÖNÜ PARKI,ŞİŞLİ,"41.04196461 , 28.99687886",41.04196461,28.99687886
65,PARK,DARÜLBEDAİ PARKI,ŞİŞLİ,"41.04828618 , 28.99112552",41.04828618,28.99112552
66,PARK,CİHANGİR PARKI,BEYOĞLU,"41.03184479 , 28.98553312",41.03184479,28.98553312
67,PARK,CİHANGİR SOSYAL TESİSLERİ,BEYOĞLU,"41.02850624 , 28.98265243",41.02850624,28.98265243
68,PARK,ULUS PARKI,BEŞİKTAŞ,"41.06401565 , 29.03221428",41.06401565,29.03221428
